,Longitude,Latitude,Month,Season,DayofWeek,Workday,Hour,PRECIPITATION,MIN_TEMPERATURE,Target
761,-114.0674497,51.06700062,11,Winter,3,Weekday,18,1,0.4,1
607,-114.1236428,51.04150722,8,Summer,6,Weekend,1,1,11.4,1
937,-114.04301374314707,51.057100969237325,9,Summer,1,Weekday,16,0,0.9,0
1189,-114.0562584,51.06597282,8,Summer,3,Weekday,8,1,7.5,1
1253,-114.07152431755674,51.03052380413088,6,Summer,4,Weekday,12,0,-1.0,0
46,-113.95554753625697,51.08270269957255,11,Winter,5,Weekday,18,1,-4.2,0
465,-114.05281263475415,50.915423660263905,8,Winter,0,Weekday,6,0,-0.3,0
988,-114.1553105,51.15475538,10,Summer,3,Weekday,16,0,-12.4,1
1443,-114.1005126,51.17680526,6,Summer,6,Weekend,13,1,10.2,1
1087,-114.1890085,51.12546991,12,Winter,0,Weekday,11,1,-13.4,1
1233,-114.0792721,51.03903292,6,Summer,6,Weekend,14,0,4.6,1
1475,-114.15245343693061,51.03196360898779,11,Winter,2,Weekday,11,0,14.1,0
169,-114.07150780387468,51.039746860189865,3,Winter,5,Weekday,1,1,-17.3,1
97,-114.05843296842936,50.906048592265016,11,Summer,0,Weekday,8,0,14.2,0
41,-114.05804419605784,51.0463458667514,10,Summer,3,Weekday,21,1,5.4,1
662,-114.1065574,51.04434421,5,Winter,3,Weekday,10,0,1.9,1
1185,-114.14682366224487,51.11427890956729,11,Summer,3,Weekday,9,0,-2.5,0
1079,-114.20898705106282,51.03789419290547,11,Summer,4,Weekday,22,0,11.1,0
530,-114.0383689,51.10010513,11,Winter,2,Weekday,18,0,-1.3,1
871,-114.0256515,50.88894254,5,Winter,4,Weekday,20,1,2.5,1
938,-113.9529664,51.08435352,12,Winter,3,Weekday,21,0,-11.8,1
553,-113.96073888794204,51.15392188225205,10,Winter,4,Weekday,16,1,-4.2,0
868,-114.16645003083369,51.10297215075175,2,Winter,2,Weekday,14,0,-3.6,0
470,-114.0670319980213,51.02317691276457,9,Summer,1,Weekday,19,0,10.1,0
1097,-114.0423932,50.9839673,12,Winter,1,Weekday,18,0,-4.6,1
711,-114.0408568,50.97829976,1,Winter,2,Weekday,21,0,-7.6,1
1496,-113.97348215848467,51.11779687718961,10,Summer,2,Weekday,18,1,12.3,0
401,-114.069192578188,51.188935226334934,2,Winter,5,Weekday,15,0,-12.4,0
870,-114.25365553165182,51.12155646530025,11,Summer,5,Weekday,23,0,-9.4,0
201,-114.26148609305321,51.10640972944924,8,Winter,3,Weekday,20,0,-14.3,0
787,-114.09749009460876,51.139467967148306,12,Summer,0,Weekday,14,0,2.5,0
584,-113.95448273628303,50.94929997093305,8,Summer,6,Weekend,9,0,2.9,0
159,-114.0023795911735,51.05635765996256,2,Winter,1,Weekday,19,1,0.4,0
956,-114.0903694,50.93998086,11,Winter,0,Weekday,15,0,-0.5,1
1103,-114.22580141164596,51.01869020738095,9,Winter,3,Weekday,23,1,1.7,0
1475,-114.1547819,51.10477952,4,Winter,4,Weekday,16,1,-2.9,1
998,-114.0199802,50.93534935,9,Summer,2,Weekday,21,0,3.1,1
706,-113.96126336383264,51.11000437380988,2,Winter,1,Weekday,16,1,-14.4,0
1237,-114.16964834676715,51.04577296532278,12,Winter,5,Weekday,18,0,0.3,0
