region_id,0,1,2
8a12ea6c9b07fff,20.89204,38.263798,11.450223
8a12ccd56707fff,41.73518,30.844032,20.743612
8a12ccd62917fff,22.651585,14.964906,48.270546
8a12ccd4008ffff,11.284746,55.18961,27.024185
8a12ea6a975ffff,48.498985,47.914627,11.343268
8a12ccc216a7fff,25.232584,7.7036905,62.42644
8a12ea6c3997fff,13.349904,54.963345,-9.251585
8a12ea6cb94ffff,33.57514,3.0514274,33.928993
8a12ccc66727fff,29.677902,36.122807,27.870178
8a12ccc06157fff,40.921642,38.488907,16.441128
8a12ccc45497fff,40.25012,30.099775,4.104479
8a12ccd0b597fff,59.848133,18.323702,19.99766
8a12ccd588a7fff,44.957787,20.66631,42.62027
8a12ccd0d09ffff,28.448057,4.2758474,40.714603
8a12ccd2e147fff,9.238235,13.379541,21.527561
8a12ea6e126ffff,16.97708,39.06485,9.0875225
8a12ccd25b0ffff,40.268936,8.595568,34.54502
